,BTC,XRP,BNB,ETH,USDC,USDT
43232,-0.0428699133401592,-0.0609568043124757,-0.0671841408816455,-0.0618282247862311,0.000645046046363964,0.00563321922200397
43233,0.0125437051013654,0.0616280468529257,0.0309419496166485,0.0721727022076597,0.0106611922684042,-0.0125767653579766
43234,0.0122607512797951,-0.00262722058771221,-0.0286778810683193,0.00115736826884173,0.0119225183498843,0.0045205261693755
43235,-0.00505901129678413,-0.00622735252971334,0.00812742588471203,-0.004201168292197,-0.0121408415193508,0.00192864984620265
43236,-0.0370929921210401,-0.05076375605003,-0.053110613834829,-0.039039187935249,0.00155098114281779,0.000404730410061027
43237,-0.00739145192545906,0.000752015527650238,0.0321148367999746,0.0121557249424546,0.0021758519636575,-0.00565406589502976
43238,-0.0202970942306131,-0.0405713262190428,0.250520468737954,-0.0331120047842877,0.0892118414489835,-0.0033244021038007
43239,0.0118368420587432,0.00703737465815857,-0.0369594625961306,0.0295627055809362,-0.0702324620868614,0.00258873898541339
43240,0.0227364108447213,0.0205141574335578,-0.0801549196594328,0.0114243142826177,-0.00867205531573813,-0.00227419434927246
43241,-0.000571173876384905,-0.00221823580002665,0.0291602001545004,-0.00618301555316124,-0.00575725989498588,0.00286664145083908
43242,-0.0156902395038191,-0.0286152782657303,0.00319179870028876,-0.0254449623349047,-0.00410534772981143,-0.00104214224745419
43243,-0.0437586257086042,-0.0495099812133841,-0.0613342680534678,-0.0703876111093119,-0.0027547396279133,0.00738209023437871
43244,-0.0392394032620437,-0.0136538488201737,-0.0527317381437969,-0.0626392554692337,0.00589958860728261,-0.00141036768186843
43245,-0.01026800196337,-0.00632557500257708,0.0136230279965734,0.010425333033698,0.00509018154000062,0.00149137275429893
43246,-0.008353415638777,-0.0152685914040691,-0.0130285851046325,-0.0178406290224606,-0.00667447306791565,-0.00527613412228794
43247,-0.028099463028624,-0.0217240707812046,-0.0306219878148587,-0.0261425913535054,-0.00576643483044525,-0.00178456352550441
43248,0.00505430559966787,-0.0050629482903779,-0.00308779500168058,-0.0241882342145982,0.00158088707526015,0.00385360282067824
43249,0.0144722194650371,0.00158745516833087,-0.0060849382096481,-0.00657068049371236,0.00180528563959396,-0.00091023319778755
43250,0.00629118471872581,0.0277200617602321,0.00960142640747291,0.0189982410862112,-0.000620371829210561,9.90285301179773E-06
43251,0.00463836133223387,-0.00962753254450128,0.111159733998078,0.00411917469967279,6.89729921469465E-05,-0.00231724465746372
43252,-0.000548032179908685,0.00512840311693673,0.013502679437951,0.00607132730619857,0.00398045243162275,0.00116131337594802
43253,0.0119793994316153,0.0386636876944546,0.030156681516022,0.0135530514809123,-0.00798822374877313,-0.00298418678431563
43254,0.00767429353317387,0.0379240102190817,0.00705914050922801,0.0459504767480368,-0.00210711671250241,-0.00186945626665616
43255,-0.000138017815996323,0.0445802664513045,-0.0184070417636514,-0.00173572687838362,0.00958631150059983,0.00302861241731084
43256,-0.0142626275191096,-0.0281159086613144,0.0680858022840634,-0.0194071797902972,-0.0102022780832678,0.00462852602304341
43257,0.00486707793659766,-0.00317618156293863,0.107554865133845,0.000511978786083423,0.00028769555857571,0.00113697032013128
